[2023-04-23 11:46:00,571: INFO/MainProcess] beat: Starting...
[2023-04-23 11:46:43,881: INFO/MainProcess] beat: Starting...
[2023-04-23 11:47:15,734: INFO/MainProcess] beat: Starting...
[2023-04-23 12:15:21,396: INFO/MainProcess] beat: Starting...
[2023-04-23 12:18:00,028: INFO/MainProcess] Scheduler: Sending due task process_invoice-daily (tasks.process_invoice_task)
[2023-04-23 12:40:02,788: INFO/MainProcess] beat: Starting...
[2023-04-23 12:40:02,803: INFO/MainProcess] Scheduler: Sending due task process_invoice-daily (process_invoice_task)
[2023-04-23 12:44:49,453: INFO/MainProcess] beat: Starting...
[2023-04-23 12:44:49,468: INFO/MainProcess] Scheduler: Sending due task process_invoice-daily (process_invoice_task)
[2023-04-23 12:48:38,461: INFO/MainProcess] beat: Starting...
[2023-04-23 12:48:38,477: INFO/MainProcess] Scheduler: Sending due task process_invoice-daily (tasks.process_invoice_task)
[2023-04-23 12:50:00,003: INFO/MainProcess] Scheduler: Sending due task process_invoice-daily (tasks.process_invoice_task)
[2023-04-23 12:53:44,334: INFO/MainProcess] beat: Starting...
[2023-04-23 12:53:44,349: INFO/MainProcess] Scheduler: Sending due task process_invoice-daily (process_invoice_task)
[2023-04-23 12:55:05,635: INFO/MainProcess] beat: Starting...
[2023-04-23 12:55:05,648: INFO/MainProcess] Scheduler: Sending due task process_invoice-daily (process_invoice_task)
[2023-04-23 12:56:40,769: INFO/MainProcess] beat: Starting...
[2023-04-23 12:56:40,784: INFO/MainProcess] Scheduler: Sending due task process_invoice-daily (process_invoice_task)
[2023-04-23 12:57:00,001: INFO/MainProcess] Scheduler: Sending due task process_invoice-daily (process_invoice_task)
[2023-04-23 12:59:49,201: INFO/MainProcess] beat: Starting...
[2023-04-23 12:59:49,223: INFO/MainProcess] Scheduler: Sending due task process_invoice-daily (process_invoice_task)
[2023-04-23 13:00:00,000: INFO/MainProcess] Scheduler: Sending due task process_invoice-daily (process_invoice_task)
[2023-04-23 13:03:00,035: INFO/MainProcess] Scheduler: Sending due task process_invoice-daily (process_invoice_task)
[2023-04-23 13:03:13,964: INFO/MainProcess] beat: Starting...
[2023-04-23 13:03:13,979: INFO/MainProcess] Scheduler: Sending due task process_invoice-daily (process_invoice_task)
[2023-04-23 13:06:00,001: INFO/MainProcess] Scheduler: Sending due task process_invoice-daily (process_invoice_task)
[2023-04-23 13:06:00,006: INFO/MainProcess] Scheduler: Sending due task process_invoice-daily (process_invoice_task)
[2023-04-23 13:09:00,000: INFO/MainProcess] Scheduler: Sending due task process_invoice-daily (process_invoice_task)
[2023-04-23 13:09:00,000: INFO/MainProcess] Scheduler: Sending due task process_invoice-daily (process_invoice_task)
[2023-04-23 13:12:00,000: INFO/MainProcess] Scheduler: Sending due task process_invoice-daily (process_invoice_task)
[2023-04-23 13:12:00,000: INFO/MainProcess] Scheduler: Sending due task process_invoice-daily (process_invoice_task)
[2023-04-23 13:15:00,000: INFO/MainProcess] Scheduler: Sending due task process_invoice-daily (process_invoice_task)
[2023-04-23 13:15:00,000: INFO/MainProcess] Scheduler: Sending due task process_invoice-daily (process_invoice_task)
[2023-04-23 13:18:00,000: INFO/MainProcess] Scheduler: Sending due task process_invoice-daily (process_invoice_task)
[2023-04-23 13:18:00,000: INFO/MainProcess] Scheduler: Sending due task process_invoice-daily (process_invoice_task)
[2023-04-23 13:21:00,002: INFO/MainProcess] Scheduler: Sending due task process_invoice-daily (process_invoice_task)
[2023-04-23 13:21:00,007: INFO/MainProcess] Scheduler: Sending due task process_invoice-daily (process_invoice_task)
[2023-04-23 14:06:00,229: INFO/MainProcess] beat: Starting...
[2023-04-23 14:06:00,245: INFO/MainProcess] Scheduler: Sending due task process_invoice-daily (process_invoice_task)
[2023-04-23 14:07:14,040: INFO/MainProcess] beat: Starting...
[2023-04-23 14:07:14,055: INFO/MainProcess] Scheduler: Sending due task process_invoice-daily (process_invoice_task)
[2023-04-23 14:09:00,010: INFO/MainProcess] Scheduler: Sending due task process_invoice-daily (process_invoice_task)
[2023-04-23 14:09:00,029: INFO/MainProcess] Scheduler: Sending due task process_invoice-daily (process_invoice_task)
[2023-04-23 14:11:25,519: INFO/MainProcess] beat: Starting...
[2023-04-23 14:11:25,534: INFO/MainProcess] Scheduler: Sending due task process_invoice-daily (process_invoice_task)
[2023-04-23 14:13:40,398: INFO/MainProcess] beat: Starting...
[2023-04-23 14:13:40,411: INFO/MainProcess] Scheduler: Sending due task process_invoice-daily (process_invoice_task)
[2023-04-23 14:15:00,006: INFO/MainProcess] Scheduler: Sending due task process_invoice-daily (process_invoice_task)
[2023-04-23 14:21:22,564: INFO/MainProcess] beat: Starting...
[2023-04-23 14:21:22,581: INFO/MainProcess] Scheduler: Sending due task process_invoice-daily (process_invoice_task)
[2023-04-23 14:25:00,002: INFO/MainProcess] Scheduler: Sending due task process_invoice-daily (process_invoice_task)
[2023-04-23 14:30:00,021: INFO/MainProcess] Scheduler: Sending due task process_invoice-daily (process_invoice_task)
[2023-04-23 14:35:00,001: INFO/MainProcess] Scheduler: Sending due task process_invoice-daily (process_invoice_task)
[2023-04-23 15:08:06,999: INFO/MainProcess] beat: Starting...
[2023-04-23 15:08:07,016: INFO/MainProcess] Scheduler: Sending due task process_invoice-daily (process_invoice_task)
[2023-04-23 15:10:09,291: INFO/MainProcess] beat: Starting...
[2023-04-23 15:10:09,307: INFO/MainProcess] Scheduler: Sending due task process_invoice-daily (process_invoice_task)
[2023-04-23 15:15:00,004: INFO/MainProcess] Scheduler: Sending due task process_invoice-daily (process_invoice_task)
[2023-04-23 15:20:00,000: INFO/MainProcess] Scheduler: Sending due task process_invoice-daily (process_invoice_task)
[2023-04-23 15:25:00,000: INFO/MainProcess] Scheduler: Sending due task process_invoice-daily (process_invoice_task)
[2023-04-23 15:26:30,665: INFO/MainProcess] beat: Starting...
[2023-04-23 15:26:30,681: INFO/MainProcess] Scheduler: Sending due task process_invoice-daily (process_invoice_task)
[2023-04-23 15:26:47,375: INFO/MainProcess] beat: Starting...
[2023-04-23 15:26:47,391: INFO/MainProcess] Scheduler: Sending due task process_invoice-daily (process_invoice_task)
